
PHPCBF RESULT SUMMARY
----------------------------------------------------------------------
FILE                                                  FIXED  REMAINING
----------------------------------------------------------------------
...ets\statb\src\Controller\ClassementController.php  2      2
...\projets\statb\src\Controller\DefisController.php  1      1
...projets\statb\src\Controller\EquipeController.php  1      0
...projets\statb\src\Controller\JoueurController.php  3      0
...\projets\statb\src\Controller\MatchController.php  1      0
...\projets\statb\src\Controller\PrimeController.php  1      0
...projets\statb\src\Controller\StatBBController.php  1      0
...ojets\statb\src\Controller\TournoisController.php  1      0
...ts\statb\src\Controller\UtilisateurController.php  1      0
C:\wamp\www\projets\statb\src\Entity\Citations.php    1      0
...ww\projets\statb\src\Entity\ClassementGeneral.php  1      0
C:\wamp\www\projets\statb\src\Entity\Coaches.php      1      0
C:\wamp\www\projets\statb\src\Entity\Defis.php        1      0
...\www\projets\statb\src\Entity\GameDataPlayers.php  1      0
...w\projets\statb\src\Entity\HistoriqueBlessure.php  1      0
C:\wamp\www\projets\statb\src\Entity\MatchData.php    1      0
C:\wamp\www\projets\statb\src\Entity\Matches.php      1      0
C:\wamp\www\projets\statb\src\Entity\Penalite.php     1      0
C:\wamp\www\projets\statb\src\Entity\Players.php      1      0
...amp\www\projets\statb\src\Entity\PlayersIcons.php  1      0
...mp\www\projets\statb\src\Entity\PlayersSkills.php  1      0
C:\wamp\www\projets\statb\src\Entity\Primes.php       1      0
C:\wamp\www\projets\statb\src\Entity\Stades.php       1      0
C:\wamp\www\projets\statb\src\Entity\Teams.php        1      0
C:\wamp\www\projets\statb\src\Enum\AnneeEnum.php      1      0
...amp\www\projets\statb\src\Factory\DefiFactory.php  1      0
...ww\projets\statb\src\Factory\MatchDataFactory.php  1      0
...\www\projets\statb\src\Factory\MatchesFactory.php  1      0
...p\www\projets\statb\src\Factory\PlayerFactory.php  1      0
...mp\www\projets\statb\src\Factory\TeamsFactory.php  1      0
...amp\www\projets\statb\src\Form\AjoutDefisType.php  1      2
...mp\www\projets\statb\src\Form\AjoutJoueurType.php  1      0
...\www\projets\statb\src\Form\AjoutPenaliteForm.php  1      1
C:\wamp\www\projets\statb\src\Form\PrimeType.php      1      0
...\www\projets\statb\src\Form\RealiserPrimeType.php  1      2
C:\wamp\www\projets\statb\src\Kernel.php              1      0
...tb\src\Repository\ClassementGeneralRepository.php  15     0
...\projets\statb\src\Repository\DefisRepository.php  1      0
...jets\statb\src\Repository\MatchDataRepository.php  1      0
...rojets\statb\src\Repository\MatchesRepository.php  1      0
...ojets\statb\src\Repository\PenaliteRepository.php  1      0
...ts\statb\src\Repository\PlayerIconsRepository.php  1      0
...rojets\statb\src\Repository\PlayersRepository.php  1      0
...rojets\statb\src\Repository\SettingRepository.php  1      0
...w\projets\statb\src\Repository\TeamRepository.php  1      0
...www\projets\statb\src\Service\CitationService.php  1      0
...w\projets\statb\src\Service\ClassementService.php  1      6
...mp\www\projets\statb\src\Service\DefisService.php  1      0
...p\www\projets\statb\src\Service\EquipeService.php  1      1
...ww\projets\statb\src\Service\MatchDataService.php  2      2
...\www\projets\statb\src\Service\MatchesService.php  1      0
...www\projets\statb\src\Service\PenaliteService.php  4      0
...p\www\projets\statb\src\Service\PlayerService.php  3      1
...mp\www\projets\statb\src\Service\PrimeService.php  1      0
...www\projets\statb\src\Service\SettingsService.php  2      0
...mp\www\projets\statb\src\Service\StadeService.php  1      0
...w\projets\statb\src\Tools\randomNameGenerator.php  1      1
----------------------------------------------------------------------
A TOTAL OF 81 ERRORS WERE FIXED IN 57 FILES
----------------------------------------------------------------------

Time: 29.65 secs; Memory: 16MB


